kshama                      ,	क्षमा               ,	क्	मम               
bobbii                      ,	बॉबी                ,	बब्बीी              
paalee                      ,	पाळी                ,	पाली                
paddhatinchi                ,	पद्धतींची           ,	पा््तींची           
newtonchya                  ,	न्यूटनच्या          ,	नेर्वनच््य          
papermadhe                  ,	पेपरमध्ये           ,	पापरममेय            
rokhale                     ,	रोखले               ,	रो	ाेे              
tyaamaagchee                ,	त्यामागची           ,	त्यामागचची          
mandirachi                  ,	मंदिराची            ,	मंंिराची            
antarvastrapasun            ,	अंतर्वस्त्रापासून   ,		ंतर्वस्््ापासून    
ratnagiri                   ,	रत्नागिरी           ,	रत्नगगिरी           
adrushy                     ,	अदृश्य              ,			ायी               
dongararanganni             ,	डोंगररांगांनी       ,		ोंगररागांंी        
hyaachpramaane              ,	ह्याचप्रमाणें       ,	ह्याचपपरममाणे       
yagyik                      ,	याज्ञिक             ,	याग्यिक             
paripak                     ,	परिपाक              ,	परिपक               
kutoombateel                ,	कुटूंबातील          ,	कुकूंबततील          
vibhagali                   ,	विभागली             ,	वि	ागली             
yaprakare                   ,	याप्रकारे           ,	याप्राारे           
iova                        ,	आयोवा               ,		ोव्हा              
bandhanee                   ,	बांधणी              ,	बांाणी              
nirnayasathi                ,	निर्णयासाठी         ,	निर्णयासााी         
paasoonach                  ,	पासूनच              ,	पासूनच              
venoo                       ,	वेणू                ,	वेनून               
jamat                       ,	जमत                 ,	जमात                
pundey                      ,	पुंदे               ,	पुं्ी               
teancheakadundekhil         ,	त्यांच्याकडूनदेखील  ,	तींचककेेेेेेीील     
atywasth                    ,	अत्यवस्थ            ,		त््व्स्            
glycols                     ,	ग्लायकोल            ,	ग्लायकल्स           
nigraha                     ,	निग्रह              ,	निग्रहा             
rajyamadhil                 ,	राज्यामधील          ,	राज्याममील          
fandat                      ,	फंडात               ,	हंंता               
reno                        ,	रेनो                ,	रेनो                
bhaagavinyaasaathee         ,	भागविण्यासाठी       ,		गगविण्यासााी       
airtel                      ,	एअरटेल              ,		ररेेल              
basto                       ,	बसतो                ,	बास्ो               
shetakaryaanmulecha         ,	शेतकऱ्यांमुळेच     ,	शेतकारय्यांमुुेच    
jodagolicha                 ,	जोडगोळीचा           ,	जोगागोीीचा          
dhornanchi                  ,	धोरणांची            ,		ोरणांची            
vibhagashi                  ,	विभागाशी            ,	वि	ागाशी            
shivray                     ,	शिवराय              ,	शिवराय              
vaparavar                   ,	वापरावर             ,	वापरावर             
madina                      ,	मदिना               ,	माििना              
kottayam                    ,	कोट्टायम            ,	कोत्ययम             
jaanevaareemadhe            ,	जानेवारीमधे         ,	जननेवरीममे          
karyalayala                 ,	कार्यालयाला         ,	कार्यालयाला         
vellor                      ,	वेल्लोर             ,	व्ल्लर              
dwivedi                     ,	द्विवेदी            ,		्विवे	ी            
adachan                     ,	अडचण                ,		चचनन               
kumar                       ,	कुमार               ,	कुमार               
sarangpur                   ,	सारंगपूर            ,	सरंगपूर             
kantratdaaranmdhay          ,	कंत्राटदारांमध्ये   ,	कंत्रराततरंंमयय     
asnareanvirodhata           ,	असणाऱयांविरोधात    ,		स्नराावििरोाात     
sansthlaavaril              ,	संस्थळावरील         ,	संस्ललाावरील        
atyaachaaraachyaa           ,	अत्याचाराच्या       ,		त्याचाराच्या       
shrivastava                 ,	श्रीवास्तव          ,	श्र्वसस्त्वा        
hindusthaaninvr             ,	हिंदुस्थानींवर      ,	हिं	ुस््ानींंवर     
melaavaa                    ,	मेळावा              ,	मेळावा              
tolnaakaa                   ,	टोलनाका             ,	तोलनाका             
asaveet                     ,	असावीत              ,		सववत               
moteeram                    ,	मोतीराम             ,	मोतीराम             
bhaashnacha                 ,	भाषणाचा             ,		ा्णनाचा            
gatatoon                    ,	गटातून              ,	गाताून              
ajaaminpatra                ,	अजामीनपात्र         ,		जममिंप््र          
yaprakaarche                ,	याप्रकारचे          ,	याप्रकारचे          
namaskar                    ,	नमस्कार             ,	नामसककर             
vichaardharechey            ,	विचारधारेचे         ,	विचाररररेचे         
allsec                      ,	ऑलसेक               ,		ल्सससस             
chandel                     ,	चंदेल               ,	चांुे               
tankerne                    ,	टँकरने              ,	तंकररने             
pahuneannee                 ,	पाहुण्यांनी         ,	पहुणेनानी           
aagau                       ,	आगाऊ                ,		गा                 
yadav                       ,	यादव                ,	यााव                
igatpuri                    ,	इगतपुरी             ,		गतपुरी             
noble                       ,	नोबेल               ,	नोबले               
mangalvedheapaasoon         ,	मंगळवेढ्यापासून     ,	मंगळवेेापपाूून      
vahatukit                   ,	वाहतुकीत            ,	वाहतुकीत            
ushmank                     ,	उष्मांक             ,		श्मांक             
canton                      ,	कॅन्टन              ,	कां्ोन              
maartandrav                 ,	मार्तंडराव          ,	मरर्तत््वव          
tapamanavar                 ,	तापमानावर           ,	तपामानावर           
fundachya                   ,	फंडाच्या            ,		ुंााच्या           
scottsdale                  ,	स्कॉट्सडेल          ,	स्कोक्स््ाले        
mahapran                    ,	महाप्राण            ,	महाप्राण            
steshanmadhe                ,	स्टेशनमध्ये         ,	स्	ेशांमेे          
gurakhee                    ,	गुराखी              ,	गुराीी              
seamec                      ,	सीमॅक               ,	सिममक               
kendraaparyantachea         ,	केंद्रापर्यंतच्या   ,	कें््रप्र््याचचचाा  
mattikatrey                 ,	माट्टिकात्रे        ,	मतत्तककत्रे         
ingraj                      ,	इंग्रज              ,		ंग्रज              
hei                         ,	हे                  ,	हे                  
phulpakharanchya            ,	फुलपाखरांच्या       ,		ुलपाररांच्या       
kharchala                   ,	खर्चाला             ,	रर्चाा              
shivarayancha               ,	शिवरायांचा          ,	शिवारायांचा         
notbandeechyaa              ,	नोटबंदीच्या         ,	नोतबंंीच्या         
jard                        ,	जर्द                ,	जार्                
chitradurga                 ,	चित्रदुर्ग          ,	चित्ररुर्गा         
vivaahaakherij              ,	विवाहाखेरीज         ,विवाहाााेरजज         
devasthananchya             ,	देवस्थानांच्या      ,		ेवस््ानांच्यय      
kaydyat                     ,	कायद्यात            ,	काय््यात            
sutargally                  ,	सुतारगल्ली          ,	सुतरर्गी            
igoor                       ,	इगोर                ,		गूर                
horton                      ,	हॉर्टन              ,	होर्तन              
birudan                     ,	बिरूदं              ,	बिरु	ान             
mulaanmadhalaa              ,	मुलांमधला           ,	मुलामममलला          
ophen                       ,	ओफेन                ,			ेनन               
sheytkreasaarkhee           ,	शेतकऱ्यासारखी      ,	शेतक््ररासारीी      
guna                        ,	गुना                ,	गुना                
dvesh                       ,	द्वेश               ,		्वेश               
buchanan                    ,	बुकानन              ,	बुचणन               
prakatala                   ,	प्रकटला             ,	प्रकातला            
prikshakendravr             ,	परीक्षाकेंद्रावर    ,	प्रकक््ाेंपर्वव     
praveshdwarapoorvi          ,	प्रवेशद्वारापूर्वी  ,	प्रवेश््वाापपूर्वी  
biina                       ,	बिना                ,	बियनना              
hiropanatee                 ,	हिरोपनती            ,	हिरोपणीती           
kumbhamelyaansaathee        ,	कुंभमेळ्यांसाठी     ,	कुंममेळ्यांसााीी    
pophalee                    ,	पोफळी               ,	पो	ली               
atishahaaneancha            ,	अतिशहाण्यांचा       ,		तिशहहणीांचा        
sael                        ,	सॅल                 ,	साल                 
relations                   ,	रिलेशन्स            ,	रेलेशन्स            
sarvekshanatoon             ,	सर्वेक्षणातून       ,	सर्वेक्	ााूून       
nirnyanmadhye               ,	निर्णयांमध्ये       ,	निर्ण्यांम््ये      
pachayala                   ,	पचायला              ,	पाचायला             
indoneshhiyan               ,	इंडोनेशियन          ,		ं्ोनेशिशान         
veebhagla                   ,	विभागला             ,	वि	ागाा             
sanshodhakanchya            ,	संशोधकांच्या        ,	संशोोकांच्या        
rufasane                    ,	रुफसने              ,	रु	ासनन             
paahuneani                  ,	पाहुण्यांनी         ,	पहहुनीणी            
belagaawakaraanmadhye       ,	बेळगावकरांमध्ये     ,	बेळागावकराांमम्ये   
gelelya                     ,	गेलेल्या            ,	गेळेल्या            
sansthemadhye               ,	संस्थेमध्ये         ,	संस््ेमम्ये         
raabavinyaasaathi           ,	राबविण्यासाठी       ,	राबविण्यासााीी      
baachegaav                  ,	बाचेगाव             ,	बाचगगाव             
nasatm                      ,	नसतं                ,	नासतम               
saran                       ,	सारण                ,	सररन                
wishvaamitrachyach          ,	विश्वामित्राच्याच   ,	विश्वमित्राचचााच    
seed                        ,	सिड                 ,	सी	                 
banboona                    ,	बांबूना             ,	बनबूना              
sansthechya                 ,	संस्थेच्या          ,	संस््ेच्या          
gulabachi                   ,	गुलाबाची            ,	गुलाबाची            
khatyanchee                 ,	खात्यांची           ,		ात्यांची           
aayaland                    ,	आयलंड               ,		यललं               
darmashikshanache           ,	धर्मशिक्षणाचे       ,		र्मशिक््णााेे      
buddhana                    ,	बुद्धांना           ,	बु	्ााना            
khadyapadarthat             ,	खाद्यपदार्थात       ,		ा््यापार्ाात       
pope                        ,	पोप                 ,	पोपे                
kshetraapoortey             ,	क्षेत्रापूरते       ,	क्तेत्रापूर्ती      
yanchyapramanech            ,	यांच्याप्रमाणेच     ,	यांच्याप्रमाणेच     
utsavatil                   ,	उत्सवातील           ,		त्सावतील           
wyaapaarudimaat             ,	व्यापारउदिमात       ,	व्यापारुिियाा       
vijhoon                     ,	विझून               ,	वि	ून               
kasotya                     ,	कसोट्या             ,	कसोो्या             
penter                      ,	पेंटर               ,	पें्र               
salamiveer                  ,	सलामीवीर            ,	सलळमिवरर            
beedar                      ,	बेडर                ,	बी	ार               
taleane                     ,	तळ्याने             ,	तालिने              
tikato                      ,	टिकतो               ,		िकतो               
vyaaplelya                  ,	व्यापलेल्या         ,	व्यापलेलल्या        
lawson                      ,	लॉसन                ,	लास्सन              
samagreecha                 ,	सामग्रीचा           ,	सामग्रीचा           
raaydrsmdhil                ,	रायडर्समधील         ,	राय्््ममीील         
paqet                       ,	पॅकेट               ,	पाके                
bandhanan                   ,	बंधनं               ,	बंंननन              
rashtrarpan                 ,	राष्ट्रार्पण        ,	रा््््रपपण          
topali                      ,	टोपली               ,	तोपली               
oaks                        ,	ओक्स                ,		क्स                
mandadi                     ,	मंदादी              ,	मांाीी              
saaravaasaarav              ,	सारवासारव           ,	सारसवााााा          
ghatsphotabarobarch         ,	घटस्फोटाबरोबरच      ,		ा्््ोोताबोोबरच     
aaikadoon                   ,	आईकडून              ,			कूून              
naagwade                    ,	नागवडे              ,	नगगववेे             
khoop                       ,	खूप                 ,		ूप                 
lakshun                     ,	लक्षून              ,	लक््ून              
suvarnamai                  ,	सुवर्णमय            ,	सुवर्णमा            
tadaphadaar                 ,	तडफदार              ,	ताााााार            
lira                        ,	लिरा                ,	लिरा                
barwani                     ,	बरवानी              ,	बारााी              
mithila                     ,	मिथिला              ,	मि	ीला              
aaramshir                   ,	आरामशीर             ,		रममशिर             
suman                       ,	सुमण                ,	सुमान               
utpadananmadhye             ,	उत्पादनांमध्ये      ,		त्पाानांम््ये      
paanaandvaare               ,	पानांद्वारे         ,	पानंं््वारे         
duchakeevaril               ,	दुचाकीवरील          ,	चुचकीीररील          
busvar                      ,	बसवर                ,	बुसववर              
matha                       ,	माथा                ,	मााा                
surat                       ,	सुरत                ,	सुरत                
pratinidhitva               ,	प्रतिनिधीत्व        ,	प्रतिनििित्वव       
soop                        ,	सोप                 ,	सुप                 
nischal                     ,	निश्चल              ,	निस्चा              
kayamach                    ,	कायमच               ,	कायमच               
tarjni                      ,	तर्जनी              ,	तार्जीी             
nivasachan                  ,	निवासाचं            ,	निवसचनन             
britainmadhil               ,	ब्रिटनमधील          ,	ब्रितांममीील        
gupta                       ,	गुप्ता              ,	गुप्ता              
gamavat                     ,	गमावत               ,	गमावव               
ugawan                      ,	उगवण                ,		गवण                
prajkta                     ,	प्राजक्ता           ,	प्रजक्त             
shetkareanchaa              ,	शेतकऱयांचा         ,	शेतकररींचा          
sadya                       ,	साड्या              ,	सा््ा               
jodnyamule                  ,	जोडण्यामुळे         ,जोजन्यामुळे          
astanantar                  ,	अस्तानंतर           ,		स्तानंतर           
bhogawati                   ,	भोगावती             ,		ोगावती             
vyavsthechya                ,	व्यवस्थेच्या        ,	व्यास्तेेच्या       
moresbiie                   ,	मोरेस्बी            ,	मोरेस्ििय           
phar                        ,	फार                 ,		रर                 
reliance                    ,	रिलायन्स            ,	रिलियान्स           
eelan                       ,	ईलॅन                ,		ललन                
parsonal                    ,	पर्सनल              ,	परसोनल              
agadeech                    ,	अगदीच               ,		गाीीच              
baghitalyavar               ,	बघितल्यावर          ,	बािितल्यावर         
kaaryaavar                  ,	कार्यावर            ,	कार्यावरर           
afghanistanmadhil           ,	अफगाणिस्तानमधील     ,			्निनस्तनंााील     
sangrahalayachi             ,	संग्रहालयाची        ,	संग्रहहाययची        
pradesh                     ,	प्रदेश              ,	प्राेश              
babbi                       ,	बॉबी                ,	बा्बी               
vruddhaashramaatoon         ,	वृध्दाश्रमातून      ,	व््््ाश्रममातून     
gaalaawar                   ,	गालावर              ,	गळलावर              
jainaanche                  ,	जैनांचे             ,	जानांचच             
aavruttee                   ,	आवृत्ती             ,		ववततती             
raincoat                    ,	रेनकोट              ,	रानको               
wendt                       ,	वेंडट               ,	वें््               
kasegaon                    ,	कासेगाव             ,	कसेगाव              
nangee                      ,	नांगी               ,	नांगी               
baqsar                      ,	बॉक्सर              ,	बालसर               
musroom                     ,	मशरूम               ,	मुस्रर              
mungya                      ,	मुंग्या             ,	मुंग्या             
zoolu                       ,	झुलू                ,		ूलू                
sahkarya                    ,	सहकार्य             ,	सहक्र्या            
grover                      ,	ग्रोव्हर            ,	ग्रावरह             
randolph                    ,	रँडॉल्फ             ,	रांोल्              
worth                       ,	वर्थ                ,	व्हरर               
tapalpetichi                ,	टपालपेटीची          ,	तपपलेेीीीी          
sadeanpramaaneych           ,	साड्यांप्रमाणेच     ,	साेेन्ररमाणणेच      
prakash                     ,	प्रकाश              ,	प्रकाशश             
payathyache                 ,	पायथ्याचे           ,	पाया्याचे           
muth                        ,	मूठ                 ,	मुक                 
godaabaaee                  ,	गोदाबाई             ,	गो	ाबाा             
control                     ,	कंट्रोल             ,	कंं्ररल             
chalisache                  ,	चाळीसचे             ,	चालीसचे             
shreninmadhe                ,	श्रेणींमध्ये        ,	श्रेनींमेे          
bolanyachya                 ,	बोलण्याच्या         ,	बोलण्याच्या         
janavarachya                ,	जनावराच्या          ,	जनावराच्या          
padtalun                    ,	पडताळून             ,	पा्तलून             
shetkaryanchee              ,	शेतकऱ्यांची        ,	शेतकरर्यांची        
chouhan                     ,	चौहान               ,	चोहन                
krupa                       ,	कृपा                ,	कुराप               
revharand                   ,	रेव्हरंड            ,	रेव्हारंं           
waaghineesandarbhaat        ,	वाघिणीसंदर्भात      ,	वाशिनीसंंर्ाात      
krushhna                    ,	कृष्णा              ,	क	श्ण               
ghrushneshwar               ,	घृष्णेश्वर          ,			््णेश्वर          
anubhavavavaa               ,	अनुभववावा           ,		नुाववववाा          
fields                      ,	फिल्ड्स             ,		िल्ल्स             
devsthanchi                 ,	देवस्थानची          ,	बेस््ाांची          
stationery                  ,	स्टेशनरी            ,	स्	ेशनरी            
karatoy                     ,	करतोय               ,	कररोय               
liberty                     ,	लिबर्टी             ,	लिबर्ीी             
doghanchihi                 ,	दोघांचीही           ,		ो	ांचीही           
rushshia                    ,	रशिया               ,		शशशयय              
nagarjuna                   ,	नागार्जुन           ,	नाररजुना            
baljabree                   ,	बळजबरी              ,	बालजाबरी            
upyogasathi                 ,	उपयोगांसाठी         ,		प्ोयगासाी          
siddhantawar                ,	सिद्धांतावर         ,	सि	्	ांतावर         
tippaneannaa                ,	टिप्पण्यांना        ,	तिप्ानानााा         
weehar                      ,	विहार               ,	विहरर               
bokser                      ,	बॉक्सर              ,	बोकसस               
vaparat                     ,	वापरात              ,	वापरत               
usake                       ,	उसके                ,		सके                
koreane                     ,	कोरियाने            ,	कोरिने              
toorichya                   ,	तुरीच्या            ,	तूरीच्या            
rashhiya                    ,	रशिया               ,	राशिया              
tukadoji                    ,	तुकडोजी             ,	तुकाोोजी            
hichyavar                   ,	हिच्यावर            ,	हिच्यावर            
baamaha                     ,	बामह                ,	बामहाा              
zydus                       ,	झ्यूड्स             ,		ायसससस             
raajyapaalaankade           ,	राज्यपालांकडे       ,	राज्यपाााांकके      
rahiwashanni                ,	रहिवाशांनी          ,	रहिवााांनी          
nesco                       ,	नेस्को              ,	नेस्क               
lavnyachya                  ,	लावण्याच्या         ,	लाण्याच्याा         
provo                       ,	प्रोवो              ,	प्रोव्हो            
asaram                      ,	आसाराम              ,		सरमा               
icchukaancheaa              ,	इच्छुकांच्या        ,		कचचुचाचचे          
khalavaleli                 ,	खालावलेली           ,		ाललललली            
mendu                       ,	मेंदू               ,	में्ू               
husharine                   ,	हुशारीने            ,	हुशरीने             
savalicha                   ,	सावलीचा             ,	सावलीचा             
vaishishte                  ,	वैशिष्टय़े          ,	वाशिश््े            
karmachya                   ,	कर्माच्या           ,	कारमाच्या           
konkontya                   ,	कोणकोणत्या          ,	कोंकों््य           
viralat                     ,	विरळत               ,	विरळात              
prasath                     ,	प्रसाथ              ,	प्रसाा              
mathur                      ,	माथूर               ,	माुरर               
krash                       ,	क्रॅश               ,	क्रशश               
putraanmadhye               ,	पुत्रांमध्ये        ,	पुत्रांम््ये        
sherebaajee                 ,	शेरेबाजी            ,	शेरबबाजाी           
pyaket                      ,	पॅकेट               ,	प्याकेत             
aanlela                     ,	आणलेला              ,		ंलेला              
jharkhandachya              ,	झारखंडच्या          ,		रांंााच्या         
sundar                      ,	सुंदर               ,	सुं	रर              
purfeect                    ,	परफेक्ट             ,	पर््िक्स            
religare                    ,	रिलायजर             ,	रेलिगारे            
raahaanar                   ,	राहाणार             ,	रहहणार              
khachet                     ,	खाचेत               ,		ाचेत               
lagavadicha                 ,	लागवडीचा            ,	लगगववीचचा           
anand                       ,	आनंद                ,		नंं                
sanghatak                   ,	संघटक               ,	संंाकक              
bighadamule                 ,	बिघाडामुळे          ,	बि	ााामुळे          
kapurthala                  ,	कपूरथळा             ,	कपुर््ाला           
dattdigambaras              ,	दत्तदिगंबरास        ,	ता््तिगगबरासस       
men                         ,	मेण                 ,	मेन                 
lekhaanchee                 ,	लेखांची             ,	ले	ांची             
mulakhatee                  ,	मुलाखती             ,	मुलााती             
banawinyaasandarbhaateel    ,	बनविण्यासंदर्भातील  ,	बनविण्यानांर््ातती  
norris                      ,	नॉरिस               ,	नोरीस               
nivadnookeesobatach         ,	निवडणूकीसोबतच       ,	निवाणुकीसोबतच       
handi                       ,	हंडी                ,	हांीी               
mataka                      ,	मटका                ,	माका                
atirekyaannaa               ,	अतिरेक्यांना        ,		तिरेक्यांना        
rastyasathee                ,	रस्त्यासाठी         ,	रस्त्यासाीी         
naanaabhat                  ,	नानाभट              ,	नानााात             
sumter                      ,	समटर                ,	सुममर               
pusa                        ,	पुसा                ,	पुसा                
cooper                      ,	कूपर                ,	कूपर                
maashaansaatheehee          ,	माशांसाठीही         ,	मशाांसााीीी         
lekhamala                   ,	लेखमाला             ,	ले	ामाा             
dhaulakhandi                ,	धौलखंडी             ,		ालाांंी            
mithaimadhe                 ,	मिठाईमध्ये          ,	मि	ाममेे            
zehra                       ,	झेहरा               ,		ेहरा               
dilyawirodhat               ,	दिल्याविरोधात       ,		िल्याविरोबात       
punyaasaarakhyaa            ,	पुण्यासारख्या       ,	पुण्यासारर्या       
vibhagiy                    ,	विभागीय             ,	वि	ागीय             
lavayala                    ,	लावायला             ,	लावययला             
cheanantar                  ,	च्यानंतर            ,	चेणणंतर             
prakriyecha                 ,	प्रक्रियेचा         ,	प्रक््ियेचा         
parbhani                    ,	परभणी               ,	पररानी              
tail                        ,	टेल                 ,	ताल                 
bhayavah                    ,	भयावह               ,		ायावह              
ganeshasobat                ,	गणेशासोबत           ,	गणेशासोबत           
indeeks                     ,	इंडेक्स             ,		ं	िक्स             
magomag                     ,	मागोमाग             ,	माोममाग             
moreesby                    ,	मोरेस्बी            ,	मोरीसीी             
deoghar                     ,	देवघर               ,		ि	ोर               
jaliyanvala                 ,	जालियनवाला          ,	जलिियावाला          
avayawanchya                ,	अवयवांच्या          ,		वययवांच्या         
kartabgarine                ,	कर्तबगारीने         ,	कर्तबबररीने         
bharteechyaa                ,	भरतीच्या            ,		रततीच्या           
badshahane                  ,	बादशहाने            ,	बशशशहाने            
pensionbaabatachee          ,	पेन्शनबाबतची        ,	पेनससनोबाबबतची      
karnik                      ,	कर्णिक              ,	कर्निक              
basmatee                    ,	बासमती              ,	बसममीी              
marsh                       ,	मार्श               ,	मार्                
vastoonnee                  ,	वस्तूंनी            ,	वस्तुनननी           
ajameenpatra                ,	अजामीनपात्र         ,	जजमिंप््रर          
susanskarit                 ,	सुसंस्कारित         ,	सुसंसककरीत          
upyogacha                   ,	उपयोगाचा            ,		पयोगाचा            
ekateech                    ,	एकटीच               ,		कतीच               
swain                       ,	स्वाइन              ,	स्वानन              
mahinyaanparyant            ,	महिन्यांपर्यंत      ,	महिन्यांपर्यंंत     
vindhya                     ,	विंध्या             ,	विं््या             
bhatia                      ,	भाटिया              ,		ातिय               
peshawyaanbarobaracha       ,	पेशव्यांबरोबरच      ,	पेशाव्याबबरबररचचा   
pujale                      ,	पुजले               ,	पुजले               
tableet                     ,	टॅबलेट              ,	तब्ली               
kenyatta                    ,	केन्याटा            ,	केण्यात्ता          
aajarat                     ,	आजारात              ,		जारात              
padataloon                  ,	पडताळून             ,	पाातूनन             
chikta                      ,	चिकटा               ,	चिक्ा               
riiliiph                    ,	रिलीफ               ,	रिलिलि              
karu                        ,	करु                 ,	कारु                
shirlyane                   ,	शिरल्याने           ,	शिरल्याने           
yanchyabaddal               ,	यांच्याबद्दल        ,	यांच्याब््ल         
sabhasadanni                ,	सभासदांनी           ,	साासााांनी          
pali                        ,	पाली                ,	पाली                
vikale                      ,	विकले               ,	विकले               
utne                        ,	उटणे                ,		तनेे               
vikalp                      ,	विकल्प              ,	विकल्प              
indianapolis                ,	इंडियनपोलीस         ,		ं्ियानपोनिि        
guntavnukdarankade          ,	गुंतवणूकदारांकडे    ,	गुंतवणुकााकंकके     
jaincha                     ,	जैनचा               ,	जाांचा              
conditioning                ,	कंडिशनिंग           ,	कंं्शिनिग           
pakiistani                  ,	पाकिस्तानी          ,	पाििसस्तानी         
echinareansathee            ,	इच्छिणाऱयांसाठी    ,	हचिनारीनासाी        
jawanankadoonahee           ,	जवानांकडूनही        ,	जवननाककूनही         
murtee                      ,	मुर्ती              ,	मुर्ती              
thrvineavirodhata           ,	ठरविण्याविरोधात     ,		्रविणेविरोोात      
jolii                       ,	जोली                ,	जोळीय               
tarkik                      ,	तार्किक             ,	तारकिि              
darwaadheechyaa             ,	दरवाढीच्या          ,		रवााीीच्या         
sheboygan                   ,	शेबॉयगन             ,	शेबोयगन             
rajyabhishekachya           ,	राज्याभिषेकाच्या    ,	राज्यािियेकाच्या    
punrvasanaakarta            ,	पुनर्वसनाकरता       ,	पुंरववणाककरता       
prayog                      ,	प्रयोग              ,	प्रयोग              
kroorpana                   ,	क्रूरपणा            ,	क्रूपपणा            
nirasalee                   ,	निरसली              ,	निरासली             
tapia                       ,	तपिया               ,	तािियय              
dubhaajak                   ,	दुभाजक              ,		ु	ाजाक             
saarawaasaaraw              ,	सारवासारव           ,	सररववाराव           
jinkane                     ,	जिंकणे              ,	जिंकणने             
bordachee                   ,	बोर्डाची            ,	बोर्ााची            
stationary                  ,	स्टेशनरी            ,	स्	ेशनार            
pakeet                      ,	पॅकेट               ,	पककत                
mhanatat                    ,	म्हणतात             ,	म्हणततात            
gokarnmadhe                 ,	गोकर्णमध्ये         ,	गोकर्मम्े           
mukhyamantryapasoon         ,	मुख्यमंत्र्यापासून  ,	मु््यमंत्र्याापासून 
malee                       ,	मेल                 ,	माीी                
adhikshak                   ,	अधीक्षक             ,			िक्कक             
aajarala                    ,	आजाराला             ,		जरााा              
paddhateepeksha             ,	पद्धतीपेक्षा        ,	पा्ततीपेक्ाा        
nagarikansathi              ,	नागरिकांसाठी        ,	नगगरिकांसाीी        
kaanee                      ,	कानी                ,	कानी                
yaavelet                    ,	यावेळेत             ,	यावेळेत             
chaturvedi                  ,	चतुर्वेदी           ,	चातरववेीी           
mit                         ,	मित                 ,	मिय                 
gundaabarobar               ,	गुंडाबरोबर          ,	गुंबाबरोबर          
vastupasun                  ,	वस्तूपासून          ,	वस्तुपासून          
barmer                      ,	बर्मर               ,	बार्म               
varshannantar               ,	वर्षांनंतर          ,	वर््ाननंतरर         
jamineetach                 ,	जमिनीतच             ,	जमिनीतच             
maidanateel                 ,	मैदानातील           ,	मानणातील            
handee                      ,	हंडी                ,	हंंीी               
basaa                       ,	बसा                 ,	बासा                
huffman                     ,	हफमॅन               ,	हु््मनन             
christensen                 ,	क्रिस्टनसेन         ,	श्रिस्््नससन        
perry                       ,	पेरी                ,	पररर                
kasbyamadhye                ,	कसब्यामध्ये         ,	कसस््याम््ये        
badgaa                      ,	बडगा                ,	बागगा               
utare                       ,	उतारे               ,		तरे                
sanghay                     ,	शांघाय              ,	सांाय               
redding                     ,	रिडींग              ,	रे	िंगग             
tanksal                     ,	टांकसाळ             ,	तंकससल              
navkar                      ,	नावकर               ,	नवककर               
padleapramaaneych           ,	पडल्याप्रमाणेच      ,	पालललपप्रमणणेे      
japharasaarakhe             ,	जफरसारखे            ,	जाारासाररे          
vishayavar                  ,	विषयावर             ,	विशयावर             
svarupatahi                 ,	स्वरूपातही          ,	स्वरूपााही          
lilipeykshahee              ,	लिलीपेक्षाही        ,	लिलिपेय्याही        
dharmiyanchi                ,	धर्मियांची          ,		र्मियांची          
rushhian                    ,	रशियन               ,	रुश्यन              
faridabad                   ,	फरिदाबाद            ,		रिीाबा             
meza                        ,	मेझा                ,	मे	ा                
savli                       ,	सावली               ,	सावली               
naseer                      ,	नसीर                ,	नसरी                
mulaachan                   ,	मुलाचं              ,	मुलाचन              
steshanmadhye               ,	स्टेशनमध्ये         ,	स्	ेशांम््ये        
potatil                     ,	पोटातील             ,	पोतातील             
sanketsthalawar             ,	संकेतस्थळावर        ,	संकेत््ेललारर       
dakghar                     ,	डाकघर               ,		ककार               
brown                       ,	ब्राऊन              ,	ब्रो्न              
pahooyaat                   ,	पाहूयात             ,	पहहूयात             
varma                       ,	वर्मा               ,	वर्मा               
rujhar                      ,	रुझार               ,	रु	ार               
budhannee                   ,	बुद्धांनी           ,	बु	ांनी             
saharachya                  ,	सहाराच्या           ,	सहराचचया            
saj                         ,	साज                 ,	सा                  
pathwane                    ,	पाठवणे              ,	पा्वाने             
ubhech                      ,	उभेच                ,		ुेेच               
dashrath                    ,	दशरथ                ,		श्ररा              
rainkoet                    ,	रेनकोट              ,	रानकोक              
saujanya                    ,	सौजन्य              ,	साजन्या             
gelyaachaa                  ,	गेल्याचा            ,	गेल्याचा            
mahilaanvirodhee            ,	महिलांविरोधी        ,	महिलांंविरोीी       
baandhakaamaasambandheechaa ,	बांधकामासंबंधीचा    ,	बांककामाससंबंंचचा   
vinlelya                    ,	विणलेल्या           ,	विंलेल्या           
snow                        ,	स्नो                ,	स्नोव ह             
peshavepad                  ,	पेशवेपद             ,	पेशावपाा            
kiranotsargi                ,	किरणोत्सर्गी        ,	किरणोत्सरगग         
maujeykadoon                ,	मौजेकडून            ,	माजेेककून           
spaem                       ,	स्पॅम               ,	स्पेम               
fasteners                   ,	फास्टनर्स           ,	ससस्ेरन्स           
paddhatimule                ,	पद्धतीमुळे          ,	पा्ततीमुळे          
machikade                   ,	माचीकडे             ,	माचीकेे             
baub                        ,	बॉब                 ,	बाबब                
jhalhkat                    ,	झळकत                ,		ाकहात              
afaganistanchya             ,	अफगाणिस्तानच्या     ,			गणनिस्ताच्या      
lincs                       ,	लिंक्स              ,	लिं््स              
