kshama                      ,	क्षमा               ,	क्	मम               
chaurasia                   ,	चौरासीया            ,	चूरसििया            
sanshodhakanni              ,	संशोधकांनी          ,	संशोधकांनी          
laavnareanvirodhaata        ,	लावणाऱ्यांविरोधात  ,	लावनररेंीरोोोााा    
vataanaa                    ,	वाटाणा              ,	वाटााा              
andhra                      ,	आंध्र               ,	अंधरर               
tapta                       ,	तप्त                ,	टा््ा               
roanoke                     ,	रोनोक               ,	रोनोके              
donaldson                   ,	डॉनाल्डसन           ,	दोनालसन             
jaagich                     ,	जागीच               ,	जागीच               
bhaajapavirodhee            ,	भाजपविरोधी          ,		ाजापाविरोधी        
asnaareansathihee           ,	असणाऱ्यांसाठीही    ,	असननररययंसाीीी      
chikatuun                   ,	चिकटून              ,	चिकातून             
jolee                       ,	जोली                ,	जोली                
sahkaryane                  ,	सहकार्याने          ,	सहकार्ययनने         
pohnyasathee                ,	पोहण्यासाठी         ,	पोह््यासाीी         
prakaranaanmadhyehee        ,	प्रकरणांमध्येही     ,	प्रकरराांमध्येही    
moorkh                      ,	मूर्ख               ,	मूर्ख               
gruharaajyamantree          ,	गृहराज्यमंत्री      ,	गृहाजज्रमांतरर      
jhabooa                     ,	झाबुआ               ,		ाबू                
jijaz                       ,	जिजझ                ,	जिजा                
sopaskar                    ,	सोपस्कार            ,	सोपासकर             
sindhudurgnagree            ,	सिंधुदुर्गनगरी      ,	सिंधुुगरनगगररी      
ranbhoomivar                ,	रणभूमीवर            ,	रं	ूमीवरर           
graahkanchee                ,	ग्राहकांची          ,	ग्रहहककंची          
vegaleech                   ,	वेगळीच              ,	वेगलीच              
reading                     ,	रिडींग              ,	रियिंग              
kharchahi                   ,	खर्चही              ,	खरचाही              
yayati                      ,	ययाति               ,	यायती               
nagalee                     ,	नागली               ,	नगली                
banda                       ,	बांदा               ,	बंंाा               
svaatantryaasaatheechyaa    ,	स्वातंत्र्यासाठीच्या,	स्वततंं््र्यासीयचचचय
madala                      ,	मडाला               ,	मदला                
faro                        ,	फेरो                ,	ाारो                
fakira                      ,	फकिरा               ,		किरा               
make                        ,	मेक                 ,	माके                
mlecchane                   ,	म्लेच्छाने          ,	मललेक्चने           
vyvasthapanatil             ,	व्यवस्थापनातील      ,	व्वासस्पापातील      
bobhata                     ,	बोभाटा              ,	बो	तत               
laavalyaanantar             ,	लावल्यानंतर         ,	लालल्यानंंरत        
keyndraparyntachea          ,	केंद्रापर्यंतच्या   ,	किंद्रपपरिंंतचचे    
asanyaaitakan               ,	असण्याइतकं          ,	असन्याााकक          
shhirt                      ,	शर्ट                ,	शिर्त               
juvaathee                   ,	जुवाठी              ,	जुवााी              
maratheet                   ,	मराठीत              ,	मराीत               
rajasthanatun               ,	राजस्थानातून        ,	राजस्	ानातून        
yaprakarche                 ,	याप्रकारचे          ,	याप्रकारचे          
sauraurje                   ,	सौरऊर्जे            ,	सूररजजे             
maharudra                   ,	महारुद्रा           ,	महारुद्र            
sagleavaroon                ,	सगळ्यावरून          ,	सा्लेवरून           
isens                       ,	इसेन्स              ,	आयसननसस             
moorcha                     ,	मूर्च्छा            ,	मूरचा               
dakhvile                    ,	दाखविले             ,	दाखविले             
prakriyeshi                 ,	प्रक्रियेशी         ,	प्रक्रियेशी         
anuyayi                     ,	अनुयायी             ,	अनुयायी             
kharedeevar                 ,	खरेदीवर             ,	खरेदीवर             
samnvayaatahi               ,	समन्वयातही          ,	सममनवायातही         
lekhache                    ,	लेखाचे              ,	लेखाचे              
vichardhareche              ,	विचारधारेचे         ,	विचारधरेेचे         
narayanraawaans             ,	नारायणरावांस        ,	नारायराााासस        
sarpdanshachaa              ,	सर्पदंशाचं          ,	सरपदांशाचा          
shraddhaanjali              ,	श्रध्दांजली         ,	श्रद्धांजली         
puruchya                    ,	पुरीच्या            ,	पुरूच्या            
engrajanna                  ,	इंग्रजांना          ,		ंग्रजांना          
vhasineshan                 ,	व्हॅसिनेशन          ,	व्हासिनेन           
aslalaya                    ,	असलेल्या            ,	असलालयय             
shudgha                     ,	शुद्घ               ,	शुद्ाा              
ajaramadhye                 ,	आजारामध्ये          ,	अजरामध्ये           
varishthankade              ,	वरिष्ठांकडे         ,	वरि्््ांकेे         
vita                        ,	वीटा                ,	विटा                
shaharapramane              ,	शहराप्रमाणे         ,	शहरापप्रमाेे        
itarsi                      ,	इटारसी              ,	आटा््ीी             
aavarena                    ,	आवारेनं             ,	आवरेेा              
urdu                        ,	उर्दू               ,	रर्दु               
prakriyet                   ,	प्रक्रियेत          ,	प्रक्रियेत          
jasticha                    ,	जास्तीचा            ,	जस्तीचा             
burhanpur                   ,	बुऱ्हाणपूर         ,	बुर्हांपूर          
elizabeth                   ,	एलिझाबेथ            ,		लिलाबे             
chikati                     ,	चिकाटी              ,	चिकती               
saahityadekhil              ,	साहित्यदेखिल        ,	साहित्यादेखील       
upyogansaathi               ,	उपयोगांसाठी         ,		पयोगांसााी         
devasthan                   ,	देवस्थाने           ,	देवस््ान            
ilan                        ,	ईलॅन                ,	आलनन                
marana                      ,	मारणा               ,	मरराा               
phek                        ,	फेक                 ,		ेक                 
mandiri                     ,	मंदिरी              ,	मांिरी              
yenaareancheaa              ,	येणार्यांच्या       ,	येनारेनचेय          
paarlmentaachaa             ,	पार्लमेंटाचा        ,	पररलेमंटााचा        
theplaa                     ,	ठेपला               ,		ेपला               
nemak                       ,	नेमकं               ,	नेमाक               
pulaajaval                  ,	पुलाजवळ             ,	पुलाजाव             
instityoot                  ,	इन्स्टिटयूट         ,		ंस्टिट्टूयत        
kutuhal                     ,	कुतूहल              ,	कुटुहल              
kalekalene                  ,	कलेकलेने            ,	कलेेकेनन            
meetas                      ,	मेट्स               ,	मीतास               
gopala                      ,	गोपाला              ,	गोपाला              
devsthanchee                ,	देवस्थानची          ,	देवस््ांची          
usatodanee                  ,	ऊसतोडणी             ,	ससतोदानी            
satyamev                    ,	सत्यमेव             ,	सत्यमेेव            
maaster                     ,	मास्टर              ,	मास्टर              
himadri                     ,	हिमाद्री            ,	हिमाद्ी             
vengurla                    ,	वेंगुर्ला           ,	वेंगुरला            
truckwar                    ,	ट्रकवर              ,	ट्रुकवर             
khandanisaathee             ,	खंडणीसाठी           ,	खांाीसााी           
dalamaleet                  ,	डळमळीत              ,	दलमलीत              
vernon                      ,	व्हर्नन             ,	व्हरनन              
deshankadunahi              ,	देशांकडूनही         ,	देशांकूूनही         
patel                       ,	पटेल                ,	पातेल               
graahakaannatar             ,	ग्राहकांनातर        ,	ग्रहहकााननतर        
adhikaareanavjee            ,	अधिकाऱयांऐवजी      ,	अधिकारनाजवजी        
latet                       ,	लाटेत               ,	लाटे                
udhaatakpada                ,	उद्घाटकपद           ,	धधतकपपाा            
nectar                      ,	नेक्टर              ,	नेक्टर              
bhookampapravan             ,	भूकंपप्रवण          ,		ूकमपप्रवा          
chatuhurigi                 ,	चतूःऋगी             ,	चातुहुरीी           
palit                       ,	पाळीत               ,	पाित                
vidheyakaanbaddal           ,	विधेयकांबद्दल       ,	विधेयाकांबद्दल      
khuratlee                   ,	खुरटली              ,	खुरतली              
mitrapkshankdoonhee         ,	मित्रपक्षांकडूनही   ,	मित्रप्कक्कंूूनही   
suvarnakamal                ,	सुवर्णकमळ           ,	सुवर्ककामल          
dandaadhikaari              ,	दंडाधिकारी          ,	दांधािकारी          
soneacheach                 ,	सोन्याच्याच         ,	सोनेचेचच            
prakaratoon                 ,	प्रकारातून          ,	प्रकरातून           
protestant                  ,	प्रोटेस्टन्ट        ,	प्रोटेस्टंं         
baanboonaa                  ,	बांबूना             ,	बानूनना             
tiip                        ,	टीप                 ,	टिप                 
holland                     ,	हॉलंड               ,	हलललं               
balaka                      ,	बलक                 ,	बाला                
been                        ,	बिन                 ,	बीन                 
basate                      ,	बसते                ,	बसतेे               
sarhadd                     ,	सरहद्द              ,	सरह्द               
maartandraw                 ,	मार्तंडराव          ,	मारततदरराव          
julaipaasoon                ,	जुलैपासून           ,	जुलापपासून          
joe                         ,	जो                  ,	जो                  
somany                      ,	सोमेनी              ,	सोमानी              
utsavat                     ,	उत्सवात             ,	ूत्सवात             
vyvasthapanane              ,	व्यवस्थापनाने       ,	व्यास्वपपननने       
ravi                        ,	रवी                 ,	रवी                 
britainchya                 ,	ब्रिटनच्या          ,	ब्रिटाांच्या        
tubes                       ,	ट्युब्स             ,	ट्युस               
balmiki                     ,	वाल्मिकी            ,	बालमिकी             
aajobanchi                  ,	आजोबांची            ,	आजोबांची            
krashh                      ,	क्रॅश               ,	क्रश                
aikaawe                     ,	ऐकावे               ,	आकााेे              
majuranvar                  ,	मजुरांवर            ,	मजूरांवर            
jalor                       ,	जालोर               ,	जललर                
saasubaaee                  ,	सासूबाई             ,	सससुबा              
hukale                      ,	हुकले               ,	हुकले               
bankannaa                   ,	बँकांना             ,	बंकांना             
reverend                    ,	रेव्हरंड            ,	रिवरहें्            
brahmanala                  ,	ब्राह्मणाला         ,	ब्रमह्ानला          
akron                       ,	अक्रोन              ,	अक्रोन              
asaavi                      ,	असावी               ,	असावी               
marathitale                 ,	मराठीतले            ,	मराीतलेे            
chaukara                    ,	चौकार               ,	चाकरा               
unus                        ,	युनूस               ,	आनुसन               
punatamba                   ,	पुणतांबा            ,	पुनतांबा            
runii                       ,	रूनी                ,	रुनी                
thewanyaasandarbhaatahee    ,	ठेवण्यासंदर्भातही   ,		ेवन्यासाददरर्ाातही 
punarbharan                 ,	पुनर्भरण            ,	पुनररररान           
kroorapana                  ,	क्रूरपणा            ,	क्रूपपाा            
mahpalikechee               ,	महपालिकेची          ,	महपपलिकेची          
russell                     ,	रसेल                ,	रुसेल               
grove                       ,	ग्रोव               ,	ग्रोव्हहह           
pahaanyas                   ,	पहाण्यास            ,	पहाा्यास            
karanaaryaanvar             ,	करणाऱ्यांवर        ,	करराायायाांवर       
lihaava                     ,	लिहावा              ,	लिहावा              
sikarwar                    ,	सिकरवार             ,	सिकररवर             
pathbalawar                 ,	पाठबळावर            ,	पा्बाावरर           
pohchvneakrita              ,	पोहचवण्याकरीता      ,	पोहचवन्ककििता       
essence                     ,	इसेन्स              ,		स्नेस              
cheyenne                    ,	चेयेने              ,	चेयेंने             
rabvane                     ,	राबवने              ,	राबवाेे             
dutta                       ,	दत्त                ,	दुत्ता              
vishanoochya                ,	विषाणूच्या          ,	विशाूूच्या          
vijaywadyakadeel            ,	विजयवाड्याकडील      ,	विजयवा्याककीील      
polisanni                   ,	पोलीसांनी           ,	पोलीसांनी           
acevedo                     ,	अँसवेडो             ,	असेवेहोोो           
anuyaayi                    ,	अनुयायी             ,	अनुयायी             
shriravidnyanacha           ,	शरीरविज्ञानाचा      ,	श्रीवर्जजनननाचा     
moorkhapanaa                ,	मूर्खपणा            ,	मूरखापाा            
cementation                 ,	सेमेन्टेशम          ,	सेमेंटेशनन          
shatkbhrapoorvipryant       ,	शतकभरापूर्वीपर्यंत  ,	शत्कारपररविपपप्््ंत 
arseenala                   ,	आर्सेनल             ,	अरसीनलल             
shivarampant                ,	शिवरामपंत           ,	शिवरांपंत           
greer                       ,	ग्रीअर              ,	ग्री                
shikavanee                  ,	शिकवणी              ,	शिकववी              
vyavstheyvirodhat           ,	व्यवस्थेविरोधात     ,	व्यास््ेयवििरोधात   
israel                      ,	इस्राईल             ,	िस्राल              
pahalvaan                   ,	पहलवान              ,	पहावा               
alok                        ,	अलोक                ,	अलोक                
naashta                     ,	नाश्ता              ,	ना्टा               
oswal                       ,	ओसवाल               ,		सवाल               
hary                        ,	हरी                 ,	हारी                
dhanik                      ,	धनिक                ,	धानिक               
ahamad                      ,	अहमद                ,	अहमद                
duchakeewarun               ,	दुचाकीवरून          ,	दुचकीीवरून          
prayojkatv                  ,	प्रायोजकत्व         ,	प्रयोजकत्व          
heechee                     ,	हीची                ,	हीची                
nagararachanaa              ,	नगररचना             ,	नगररचनना            
vayat                       ,	वयात                ,	वायत                
niymannaa                   ,	नियमांना            ,	नियमांना            
dushane                     ,	दूषणे               ,	दुशाने              
thraavaalaa                 ,	ठरावाला             ,		्रावाा             
karyalayavar                ,	कार्यालयावर         ,	कार्यालयावर         
mukhyamantreepadasathich    ,	मुख्यमंत्रीपदासाठीच ,	मुख्यमंत्रीपदासााीच 
whitaker                    ,	व्हिटेकर            ,	व्हिटककर            
alpophar                    ,	अल्पोपहार           ,	अल्पोपरर            
topya                       ,	टोप्या              ,	तोप्या              
prashasanat                 ,	प्रशासनात           ,	प्रशासनात           
dharananmadhe               ,	धरणांमध्ये          ,	धरराांमधे           
avakala                     ,	अवकळा               ,	अवकाल               
fitzgerald                  ,	फिट्झेराल्ड         ,	टिटगगरल्            
prashikshakaaviruddha       ,	प्रशिक्षकाविरूद्ध   ,	प्रशिक्रकाविरुु्धध  
jamne                       ,	जमणे                ,	जमने                
kalakrutiladaykhil          ,	कलाकृतीलादेखील      ,	कलाकृतीलादाीीखल     
sambhandhatoon              ,	संबंधातून           ,	संंधाातून           
saket                       ,	साकेत               ,	साकेट               
zinhaaee                    ,	झिन्हाई             ,	ििंहााे             
matecha                     ,	मातेचा              ,	मततेचा              
athletics                   ,	ऍथलेटिक्स           ,	अहलेटेक्क्स         
holeewoodamadhoon           ,	हॉलीवूडमधून         ,	होलीवूदामधून        
has                         ,	र्हास               ,	हास                 
ali                         ,	अली                 ,	आली                 
konakonatyaa                ,	कोणकोणत्या          ,	कोनकोनत्ययाा        
pohochawinaryaa             ,	पोहोचविणाऱ्या      ,	पोहोचविनार््या      
janamanasavar               ,	जनमानसावर           ,	जनममाााावर          
brentwood                   ,	ब्रेंटवुड           ,	ब्रेंटटूू           
naikanchyaa                 ,	नाईकांच्या          ,	नाकांच्या           
w                           ,	डब्ल्यू             ,	व्ह                 
sonara                      ,	सोनार               ,	सोनारा              
saalunki                    ,	साळुंकी             ,	सालुंकी             
nivadtat                    ,	निवडतात             ,	निवा्तात            
yeja                        ,	येजा                ,	येजा                
bashela                     ,	बसेल                ,	बाशेला              
karate                      ,	करतें               ,	करते                
varshannatar                ,	वर्षांनंतर          ,	वर््ाननतर           
sherdil                     ,	शेरदिल              ,	शेर्ील              
meyhunea                    ,	मेहुण्या            ,	मेहेनुने            
janaavrachya                ,	जनावराच्या          ,	जनाारााच्या         
somanshashtree              ,	सोमणशास्त्री        ,	सोमानशात््ीी        
mhpalikechi                 ,	महपालिकेची          ,	म्हापलिककची         
kadavee                     ,	कडवी                ,	कावी                
tashha                      ,	ताशा                ,	तशशा                
vyavasthesarkhaa            ,	व्यवस्थेसारखा       ,	व्यवस्यासारखाा      
bhilai                      ,	भिलाई               ,		िलाा               
garachya                    ,	गराच्या             ,	गरराच्या            
mahamad                     ,	महंमद               ,	महामद               
nashik                      ,	नाशिक               ,	नाशिक               
vyavstheybdlchea            ,	व्यवस्थेबद्दलच्या   ,	व्याव्यास््ेललेे    
mojakech                    ,	मोजकेच              ,	मोजकेच              
balaadhaya                  ,	बलाढय़              ,	बालधधया             
aaglaaweglaa                ,	आगळावेगळा           ,	आगललवेललल           
vastoochya                  ,	वस्तूच्या           ,	वस्तूचच्या          
vishayavarachi              ,	विषयावरची           ,	विशयााराीी          
ghatsthapna                 ,	घटस्थापना           ,		टस््ापनन           
ghungaroo                   ,	घुंगरू              ,		ुंगरू              
shetakaryaannee             ,	शेतकऱ्यांनी        ,	शेतकरर्याांनी       
ovharveli                   ,	ओव्हरवेळी           ,		व्हरवेली           
sasanka                     ,	ससंका               ,	सासंका              
todd                        ,	टॉड                 ,	टोद्                
ankoor                      ,	अंकुर               ,	अंकूर               
sabhasadanche               ,	सभासदांचे           ,	सााााांचेे          
ulatasulat                  ,	उलटसुलट             ,		लततसुाात           
janmachehee                 ,	जन्माचेही           ,	जन्माचेही           
niteeshkumar                ,	नितीशकुमार          ,	नितीशुकुमार         
raashtraasandarbhaat        ,	राष्ट्रासंदर्भात    ,	राा्ट्रसांंरर्ाात   
margannidekheel             ,	मार्गांनीदेखील      ,	मार्गंंीीेखील       
banaln                      ,	बनलं                ,	बानलं               
rashtriya                   ,	राष्ट्रिय           ,	रा््ट्रीय           
pavala                      ,	पावला               ,	पवला                
rahata                      ,	राहता               ,	रहात                
phida                       ,	फीड                 ,		िदा                
vihari                      ,	विहारी              ,	विहारी              
qathmandu                   ,	काठमांडू            ,	काममंंू             
churmureachea               ,	चुरमुऱ्याच्या      ,	चुरमुुरचचा          
sasnsthalawaril             ,	संस्थळावरील         ,	सास्नाााावरील       
phairo                      ,	फेरो                ,		ारो                
knoxville                   ,	नॉक्सविले           ,	कननक्सवव्ललल        
pheteh                      ,	फतेह                ,		ेटेह               
dheerai                     ,	धीराई               ,	धीराा               
dhvajadandaakade            ,	ध्वजदंडाकडे         ,	ध्वजांदााकेे        
liinks                      ,	लिंक्स              ,	लिं्क्स             
vadilaankhereej             ,	वडिलांखेरीज         ,	वािलंदखखेज          
valchandnagar               ,	वालचंदनगर           ,	वाचचंदनगगर          
wijaywada                   ,	विजयवाडा            ,	विजयवााा            
swatachich                  ,	स्वतःचीच            ,	स्वताचीच            
dublin                      ,	डब्लिन              ,	दब्लि               
thiruvananthapuram          ,	तिरुअनंतपुरम        ,	चिरवुनांुपररम       
blud                        ,	ब्लड                ,	ब्लु                
residentt                   ,	रेसिडेंट            ,	रिसिदेंटट           
chikhalphek                 ,	चिखलफेक             ,	चिखललखेक            
pratinidheemandalachya      ,	प्रतिनिधीमंडळाच्या  ,	प्रतिनिधींममदाच्या  
paradeshateel               ,	परदेशातील           ,	परदेशततील           
kruteanantrhee              ,	कृत्यानंतरही        ,	कृतीनंंररी          
ghasatat                    ,	घासतात              ,		ासततत              
gaurav                      ,	गौरव                ,	गारवव               
juuluu                      ,	झुलू                ,	जुलुलू              
gamavle                     ,	गमावले              ,	गममवले              
tantradnyanamagachaa        ,	तंत्रज्ञानामागचा    ,	तंत्रज्ंामममगाचा    
prayogasaathi               ,	प्रयोगासाठी         ,	प्रयोगासााी         
paishansathee               ,	पैशांसाठी           ,	पशशांसाीी           
fraechyjee                  ,	फ्रॅचायजी           ,		्रेच्जी            
mayboleekrankdey            ,	मायबोलीकरांकडे      ,	मायबोलीकरर््ेे      
pawar                       ,	पवार                ,	पावर                
vyavstheet                  ,	व्यवस्थीत           ,	व्यास््ीत           
shaytkreasathi              ,	शेतकऱ्यासाठी       ,	शात््रकेसााी        
dehri                       ,	देहरी               ,	देहरी               
alpasankhyakanche           ,	अल्पसंख्याकांचे     ,	अल्पसंख्याकांचे     
vhiyatnam                   ,	व्हिएटनाम           ,	व्हियततनम           
trisandhyan                 ,	त्रिसंध्यं          ,	त्रिसंध्यान         
thandeene                   ,	थंडीने              ,		ांीीेे             
mahayuteechya               ,	महायुतीच्या         ,	महायुतीच्या         
hiropantee                  ,	हिरोपनती            ,	हिरोपंती            
bhetichya                   ,	भेटीच्या            ,		ेटीच्या            
churmureacheaa              ,	चुरमुऱ्याच्या      ,	चुर्मुरेयचचा        
nondvineasathihi            ,	नोंदविण्यासाठीही    ,	नोंदविनेाााीीी      
bhagalpur                   ,	भागलपूर             ,	गगलपूर              
finnish                     ,	फिन्निश             ,	दिन्निश             
alimpika                    ,	ऑलिम्पिक            ,	अलिंपििक            
kideenchee                  ,	किडींची             ,	कीदींची             
prantatun                   ,	प्रांतातून          ,	प्रांतातून          
vadyanch                    ,	वाद्यांचा           ,	वा््यंं             
taate                       ,	ताटे                ,	ताेे                
sooap                       ,	सोप                 ,	सूपप                
dheeraai                    ,	धीराई               ,	धीराा               
prayogananter               ,	प्रयोगानंतर         ,	प्रयोगानंतर         
bader                       ,	बेडर                ,	बारर                
parshwabhumivar             ,	पार्श्वभूमीवर       ,	पार्शववूमीवरर       
vidyarthineela              ,	विद्यार्थिनीला      ,	विद्यार्िीनीला      
kaatavanakade               ,	कातवणकडे            ,	कटववााकके           
shrirvidnyanachaa           ,	शरीरविज्ञानाचा      ,	श्रीव्ि््जननाचा     
prashasanavar               ,	प्रशासनावर          ,	प्रशासनावर          
walawanyaat                 ,	वळवण्यात            ,	वाला््यात           
vyakteenchyaahee            ,	व्यक्तींच्याही      ,	व्यक्तिंच्याचे      
taadametalaachyaa           ,	ताडमेटलाच्या        ,	तदममेतलाचचयाा       
etij                        ,	एटीज                ,	अटिज                
cheelam                     ,	चिलीम               ,	चिलम                
hamirpur                    ,	हमीरपूर             ,	हमीरपरर             
garat                       ,	गरात                ,	गरतत                
potat                       ,	पोटात               ,	पोटात               
vrundaavanaamadhye          ,	वृंदावनामध्ये       ,	वृंदववाामधधयेे      
shhillong                   ,	शिलाँग              ,	शिल्लों             
pradnyasaarkhea             ,	प्रज्ञासारख्या      ,	प्रज्	ायसारखे       
personal                    ,	पर्सनल              ,	परसनलल              
maidanacha                  ,	मैदानाचा            ,	मददानाचा            
sanghaashi                  ,	संघाशी              ,	संंााशी             
shrivastav                  ,	श्रीवास्तव          ,	श्रीवस्ततवव         
agadi                       ,	अगदी                ,	अगाीी               
mathews                     ,	मॅथ्यूस             ,	माेे््              
aalavoon                    ,	आळवून               ,	आलवूू               
agrahari                    ,	आग्रहारी            ,	अग्रहरी             
dakhawnaaree                ,	दाखवणारी            ,	दाखवाारी            
hari                        ,	हरि                 ,	हाीी                
dahashatawaadyaasaarakhe    ,	दहशतवाद्यासारखे     ,	दहशतवाा्याााररााखे  
tvitar                      ,	ट्विटर              ,	त्वितर              
ashaahee                    ,	अशाही               ,	अशाही               
yachikevareel               ,	याचिकेवरील          ,	याचिकेवरील          
raahat                      ,	राहतं               ,	राहात               
alyimpic                    ,	ऑलिम्पिक            ,	अल्यामिपकक          
bass                        ,	बास                 ,	बासस                
vishanoomule                ,	विषाणूमुळे          ,	विशानूमुुे          
paryaawaranawaadee          ,	पर्यावरणवादी        ,	पर्यारवाााााीी      
miliyon                     ,	मिलियन              ,	मिलियोन             
hasavafasavi                ,	हसवाफसवी            ,	हसवाााााी           
canon                       ,	कॅनन्               ,	केनोन               
farmer                      ,	फार्मर              ,		ररमम               
goodyear                    ,	गुडइयर              ,	गोद्याार            
vakoon                      ,	वाकून               ,	वाकून               
kalatani                    ,	कलाटणी              ,	कलतानी              
aatashabaaji                ,	आतषबाजी             ,	आतशाबाजी            
samarika                    ,	सामारिक             ,	समााििक             
highwaywar                  ,	हायवेवर             ,	हिववायाव            
alembic                     ,	अलेम्बिक            ,	अलेममिकक            
wadhawan                    ,	वाधवान              ,	वाावा               
khatyacha                   ,	खात्याचा            ,	खात्याचा            
sofavar                     ,	सोफावर              ,	सोोावर              
padleapramanech             ,	पडल्याप्रमाणेच      ,	पदललेप्रमााेच       
jose                        ,	जोस                 ,	जोसे                
tootyaane                   ,	तोटयाने             ,	तूत्याने            
carson                      ,	कार्सोन             ,	कार्न               
pindadan                    ,	पिंडदान             ,	पिंदाा              
aniyamitateprakarani        ,	अनियमिततेप्रकरणी    ,	अनियममितेप्रकररीी   
highland                    ,	हायलँड              ,	हिललंं              
jethe                       ,	जेथे                ,	जेेे                
zopadapatteesaarakhyaa      ,	झोपडपट्टीसारख्या    ,	जोपादपतीदााारााायय  
gravita                     ,	ग्रॅविटा            ,	ग्रविता             
pushkar                     ,	पुष्कर              ,	पुशककर              
chahaata                    ,	चहात                ,	चहाता               
malhararavannee             ,	मल्हाररावांनी       ,	मल्हाराााांनी       
maruti                      ,	मारुती              ,	मरुुटी              
milavinarreanchea           ,	मिळविणाऱ्यांच्या   ,	मिलाविनाररर्यंंे    
shanghe                     ,	शांघाय              ,	शांेे               
hllyaanmadhyehee            ,	हल्ल्यांमध्येही     ,	हलल्ल्यांमध्येही    
mangdagauree                ,	मंगळागौरी           ,	मंगगगगरर            
paathpishveet               ,	पाठपिशवीत           ,	पापपिश्वीत          
upgrahachi                  ,	उपग्रहाची           ,	अपग्रहाची           
wheelar                     ,	व्हीलर              ,	विहीरर              
jaunpur                     ,	जौनपूर              ,	जानपूर              
bitala                      ,	बीटल                ,	बिटला               
vaatpaacha                  ,	वाटपाचा             ,	वाटपाचा             
mulukh                      ,	मुलुख               ,	मुलुख               
lavaadaane                  ,	लवादाने             ,	लावाााने            
shadoochya                  ,	शाडूच्या            ,	शाूूच्या            
pleasant                    ,	प्लिझंट             ,	प्लेसांत            
godee                       ,	गोदी                ,	गोदी                
casey                       ,	केसी                ,	केसीय               
vilas                       ,	विलास               ,	विलास               
aathavaneemule              ,	आठवणीमुळे           ,	आ	ववीीमुेे          
yanpasoon                   ,	यांपासून            ,	यांपासून            
prithviche                  ,	पृथ्वीचे            ,	प्रिव्वीचे          
arvada                      ,	अर्वाडा             ,	अरवााा              
kuantum                     ,	क्वांटम             ,	कुंटटम              
tari                        ,	टेरी                ,	तररी                
dodson                      ,	डॅडसन               ,	दोयसनन              
devila                      ,	देवीला              ,	देवीला              
napoleyanchya               ,	नेपोलियनच्या        ,	नापोलेयांच्या       
dalbee                      ,	डॉल्बी              ,	दल्ीी               
pimpalasalaa                ,	पिंपळसला            ,	पिंपाासाला          
bhijli                      ,	भिजली               ,		िजली               
pakisthanat                 ,	पाकिस्तानात         ,	पाकिस्	ानात         
kalika                      ,	कलिका               ,	काििका              
berwyn                      ,	बर्विन              ,	बर्ीन               
dhadapadat                  ,	धडपडत               ,	धापदातत             
virangula                   ,	विरंगुळा            ,	विरंगुला            
swareet                     ,	स्वारीत             ,	स्वरीत              
